"order_id","order_date","ship_date","ship_mode","customer_id","product_id","sales","quantity","discount","profit"
CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,OFF-AR-10004441,9,3,0,2
CA-2014-118962,2014-08-05,2014-08-09,Standard Class,CS-12130,OFF-PA-10000659,20,3,0,9
US-2014-100853,2014-09-14,2014-09-19,Standard Class,JB-15400,OFF-AP-10000891,52,2,0,-131
US-2017-152366,2017-04-21,2017-04-25,Second Class,SJ-20500,OFF-AP-10002684,97,4,0,-243
US-2015-101511,2015-11-21,2015-11-23,Second Class,JE-15745,FUR-CH-10004698,396,7,0,-11
CA-2015-137225,2015-12-15,2015-12-19,Standard Class,JK-15640,OFF-AR-10001940,3,1,0,1
CA-2014-166191,2014-12-05,2014-12-09,Second Class,DK-13150,OFF-ST-10003455,24,2,0,1
CA-2014-158274,2014-11-19,2014-11-24,Second Class,RM-19675,TEC-PH-10003273,503,4,0,131
CA-2016-105018,2016-11-28,2016-12-02,Standard Class,SK-19990,OFF-BI-10001890,7,2,0,3
CA-2014-123260,2014-08-26,2014-08-30,Standard Class,FM-14290,TEC-AC-10002323,176,8,0,22
CA-2016-157000,2016-07-16,2016-07-22,Standard Class,AM-10360,OFF-ST-10001328,37,3,0,3
CA-2015-102281,2015-10-12,2015-10-14,First Class,MP-17470,FUR-BO-10002613,899,4,0,112
CA-2015-131457,2015-10-31,2015-11-06,Standard Class,MZ-17515,OFF-EN-10001509,14,7,0,6
CA-2014-140004,2014-03-21,2014-03-25,Standard Class,CB-12025,OFF-AR-10004685,7,2,0,1
CA-2017-107720,2017-11-06,2017-11-13,Standard Class,VM-21685,OFF-ST-10001414,46,3,0,12
US-2017-124303,2017-07-06,2017-07-13,Standard Class,FH-14365,OFF-BI-10000343,2,2,0,-2
CA-2017-105074,2017-06-24,2017-06-29,Standard Class,MB-17305,OFF-PA-10002666,21,3,0,6
CA-2014-133690,2014-08-03,2014-08-05,First Class,BS-11755,FUR-TA-10004289,218,2,0,-161
US-2017-116701,2017-12-17,2017-12-21,Second Class,LC-17140,OFF-AP-10003217,66,2,0,-178
CA-2017-126382,2017-06-03,2017-06-07,Standard Class,HK-14890,FUR-FU-10002960,35,7,0,9
CA-2017-108329,2017-12-09,2017-12-14,Standard Class,LE-16810,TEC-PH-10001918,444,4,0,44
CA-2017-135860,2017-12-01,2017-12-07,Standard Class,JH-15985,OFF-ST-10000642,83,4,0,5
CA-2015-101007,2015-02-09,2015-02-13,Second Class,MS-17980,TEC-AC-10001266,20,2,0,6
CA-2015-146262,2015-01-02,2015-01-09,Standard Class,VW-21775,OFF-LA-10004544,23,2,0,8
CA-2016-130162,2016-10-28,2016-11-01,Standard Class,JH-15910,OFF-ST-10001328,93,6,0,26
CA-2015-169397,2015-12-24,2015-12-27,First Class,JB-15925,OFF-FA-10000585,5,2,0,1
CA-2015-163055,2015-08-09,2015-08-16,Standard Class,DS-13180,OFF-AR-10001026,2,1,0,0
US-2015-145436,2015-02-28,2015-03-04,Standard Class,VD-21670,FUR-CH-10004860,161,2,0,-28
US-2014-156216,2014-09-13,2014-09-17,Standard Class,EA-14035,OFF-BI-10001679,18,7,0,-12
US-2017-100930,2017-04-07,2017-04-12,Standard Class,CS-12400,FUR-TA-10001705,233,2,0,-102
CA-2017-160514,2017-11-12,2017-11-16,Standard Class,DB-13120,OFF-PA-10002479,10,2,0,4
CA-2016-157749,2016-06-04,2016-06-09,Second Class,KL-16645,OFF-PA-10003349,25,5,0,9
CA-2014-131926,2014-06-01,2014-06-06,Second Class,DW-13480,FUR-CH-10004063,2001,7,0,580
CA-2016-154739,2016-12-10,2016-12-15,Second Class,LH-17155,FUR-CH-10002965,321,2,0,28
CA-2016-145625,2016-09-11,2016-09-17,Standard Class,KC-16540,OFF-PA-10004569,7,1,0,3
CA-2016-146941,2016-12-10,2016-12-13,First Class,DL-13315,OFF-ST-10001228,80,6,0,22
US-2015-159982,2015-11-28,2015-12-04,Standard Class,DR-12880,FUR-FU-10002505,12,9,0,-8
CA-2017-163139,2017-12-01,2017-12-03,Second Class,CC-12670,TEC-AC-10000290,20,3,0,6
US-2017-155299,2017-06-08,2017-06-12,Standard Class,Dl-13600,OFF-AP-10002203,1,2,0,-4
US-2014-106992,2014-09-19,2014-09-21,Second Class,SB-20290,TEC-MA-10000822,3059,3,0,-509
CA-2016-125318,2016-06-06,2016-06-13,Standard Class,RC-19825,TEC-PH-10001433,328,4,0,28
CA-2015-155040,2015-11-10,2015-11-15,Standard Class,AH-10210,TEC-AC-10004469,79,2,0,35
CA-2017-136826,2017-06-16,2017-06-20,Standard Class,CB-12535,OFF-AR-10003602,14,3,0,4
CA-2016-111010,2016-01-22,2016-01-28,Standard Class,PG-18895,OFF-FA-10003472,7,6,0,0
US-2017-145366,2017-12-09,2017-12-13,Standard Class,CA-12310,OFF-ST-10004180,37,1,0,-7
CA-2017-163979,2017-12-28,2018-01-02,Second Class,KH-16690,OFF-ST-10003208,725,4,0,210
CA-2015-155334,2015-07-30,2015-07-31,First Class,HA-14920,TEC-AC-10003628,209,7,0,92
CA-2017-118136,2017-09-16,2017-09-17,First Class,BB-10990,OFF-PA-10002615,8,2,0,4
CA-2017-132976,2017-10-13,2017-10-17,Standard Class,AG-10495,OFF-PA-10000673,11,2,0,4
US-2015-161991,2015-09-26,2015-09-28,Second Class,SC-20725,OFF-BI-10004967,2,5,0,-3
CA-2015-130890,2015-11-02,2015-11-06,Standard Class,JO-15280,FUR-TA-10002903,1038,5,0,51
CA-2015-130883,2015-09-26,2015-10-02,Standard Class,TB-21520,OFF-PA-10000474,141,5,0,47
CA-2016-112697,2016-12-18,2016-12-20,Second Class,AH-10195,OFF-BI-10000778,254,7,0,-169
CA-2016-110772,2016-11-20,2016-11-24,Second Class,NZ-18565,OFF-FA-10002983,19,7,0,6
CA-2014-111451,2014-12-26,2014-12-28,First Class,KL-16555,FUR-FU-10004091,300,8,0,78
CA-2016-142545,2016-10-28,2016-11-03,Standard Class,JD-15895,OFF-PA-10002105,32,5,0,15
US-2017-152380,2017-11-19,2017-11-23,Standard Class,JH-15910,FUR-TA-10002533,219,3,0,-131
CA-2015-144253,2015-05-04,2015-05-09,Second Class,AS-10225,FUR-FU-10002671,26,2,0,12
CA-2014-130960,2014-12-30,2015-01-04,Standard Class,KB-16600,OFF-AR-10003651,9,3,0,2
CA-2014-111003,2014-06-01,2014-06-06,Standard Class,CR-12625,OFF-BI-10001072,45,3,0,20
CA-2017-126774,2017-04-15,2017-04-17,First Class,SH-20395,OFF-AR-10002804,4,1,0,2
CA-2016-142902,2016-09-12,2016-09-14,Second Class,BP-11185,FUR-FU-10001918,15,4,0,3
CA-2014-120887,2014-09-27,2014-10-03,Standard Class,TS-21205,FUR-FU-10001588,87,3,0,37
CA-2014-167850,2014-08-09,2014-08-16,Standard Class,AG-10525,TEC-PH-10002398,178,2,0,22
CA-2014-164259,2014-12-28,2014-12-30,First Class,SP-20860,OFF-AR-10003373,99,4,0,8
CA-2014-164973,2014-11-04,2014-11-09,Standard Class,NM-18445,FUR-CH-10002602,135,1,0,24
CA-2014-156601,2014-09-19,2014-09-24,Standard Class,FA-14230,OFF-FA-10000624,7,2,0,3
CA-2016-162138,2016-04-23,2016-04-27,Standard Class,GK-14620,OFF-BI-10004593,251,6,0,81
CA-2017-153339,2017-11-03,2017-11-05,Second Class,DJ-13510,FUR-FU-10001967,15,1,0,0
US-2016-141544,2016-08-30,2016-09-01,First Class,PO-18850,TEC-PH-10003645,290,3,0,-67
US-2016-150147,2016-04-25,2016-04-29,Second Class,JL-15850,TEC-PH-10004614,82,2,0,-20
CA-2015-137946,2015-09-01,2015-09-04,Second Class,DB-13615,OFF-BI-10001922,4,1,0,1
CA-2014-129924,2014-07-12,2014-07-17,Standard Class,AC-10420,OFF-BI-10003314,7,2,0,2
CA-2015-128167,2015-06-22,2015-06-26,Second Class,KL-16645,OFF-FA-10000490,4,4,0,2
CA-2014-122336,2014-04-13,2014-04-17,Second Class,JD-15895,OFF-AR-10000122,17,4,0,1
US-2015-120712,2015-12-20,2015-12-24,Standard Class,CS-12130,OFF-ST-10000107,88,4,0,-2
CA-2017-169901,2017-06-15,2017-06-19,Standard Class,CC-12550,TEC-PH-10002293,47,3,0,4
CA-2017-134306,2017-07-08,2017-07-12,Standard Class,TD-20995,OFF-AR-10004027,7,3,0,3
CA-2016-129714,2016-09-01,2016-09-03,First Class,AB-10060,TEC-AC-10000290,6,1,0,2
CA-2016-138520,2016-04-08,2016-04-13,Standard Class,JL-15505,FUR-BO-10002268,388,6,0,-4
CA-2016-130001,2016-04-23,2016-04-28,Standard Class,HK-14890,OFF-PA-10002666,36,5,0,11
CA-2017-155698,2017-03-08,2017-03-11,First Class,VB-21745,OFF-AP-10001124,647,8,0,168
CA-2017-144904,2017-09-25,2017-10-01,Standard Class,KW-16435,OFF-LA-10001158,20,2,0,9
CA-2014-123344,2014-09-24,2014-09-29,Standard Class,JD-16060,OFF-ST-10001713,211,4,0,8
CA-2016-155516,2016-10-21,2016-10-21,Same Day,MK-17905,OFF-BI-10002412,23,4,0,10
CA-2017-104745,2017-05-29,2017-06-04,Standard Class,GT-14755,OFF-PA-10002036,25,5,0,9
US-2014-119137,2014-07-23,2014-07-27,Standard Class,AG-10900,OFF-BI-10001982,8,5,0,-5
US-2016-134656,2016-09-28,2016-10-01,First Class,MM-18280,OFF-PA-10003039,99,4,0,30
US-2017-134481,2017-08-27,2017-09-01,Standard Class,AR-10405,FUR-TA-10004915,1488,7,0,-297
CA-2015-130792,2015-04-28,2015-05-05,Standard Class,RA-19915,OFF-AP-10000696,8,3,0,-20
CA-2016-134775,2016-10-28,2016-10-29,First Class,AS-10285,OFF-PA-10004734,50,7,0,25
CA-2015-125395,2015-06-26,2015-06-29,Second Class,LA-16780,TEC-AC-10004708,41,2,0,8
US-2015-168935,2015-11-27,2015-12-02,Standard Class,DO-13435,FUR-TA-10000617,375,3,0,-157
CA-2015-122756,2015-12-03,2015-12-07,Standard Class,DK-13225,TEC-MA-10001681,482,4,0,-337
CA-2014-115973,2014-11-24,2014-11-26,First Class,NG-18430,OFF-AR-10004757,2,1,0,0
CA-2017-101798,2017-12-11,2017-12-15,Standard Class,MV-18190,OFF-BI-10000050,23,4,0,7
US-2014-135972,2014-09-21,2014-09-23,Second Class,JG-15115,TEC-PH-10003012,246,2,0,27
US-2014-134971,2014-06-07,2014-06-10,Second Class,BP-11095,OFF-BI-10003982,12,3,0,-20
CA-2017-102946,2017-06-30,2017-07-05,Standard Class,VP-21730,OFF-BI-10004492,75,3,0,25
CA-2017-165603,2017-10-17,2017-10-19,Second Class,SS-20140,OFF-ST-10000798,49,2,0,9
CA-2015-122259,2015-10-31,2015-11-04,Standard Class,HP-14815,OFF-SU-10002573,70,4,0,21
CA-2016-108987,2016-09-08,2016-09-10,Second Class,AG-10675,OFF-ST-10001580,35,3,0,3
CA-2014-113166,2014-12-24,2014-12-26,First Class,LF-17185,OFF-PA-10001947,9,2,0,3
CA-2014-155208,2014-04-16,2014-04-20,Standard Class,SP-20650,OFF-AR-10003478,39,6,0,9
CA-2017-117933,2017-12-24,2017-12-29,Standard Class,RF-19840,OFF-AP-10004249,35,3,0,9
CA-2017-117457,2017-12-08,2017-12-12,Standard Class,KH-16510,TEC-AC-10000158,179,5,0,37
CA-2017-142636,2017-11-03,2017-11-07,Standard Class,KC-16675,OFF-PA-10000157,139,7,0,65
CA-2017-122105,2017-06-24,2017-06-28,Standard Class,CJ-12010,OFF-AR-10004344,95,8,0,25
CA-2016-148796,2016-04-14,2016-04-18,Standard Class,PB-19150,FUR-CH-10004886,383,5,0,38
CA-2017-154816,2017-11-06,2017-11-10,Standard Class,VB-21745,OFF-PA-10003845,5,1,0,2
CA-2017-110478,2017-03-04,2017-03-09,Standard Class,SP-20860,OFF-AR-10001573,9,4,0,2
CA-2014-142048,2014-06-22,2014-06-25,First Class,JE-15745,TEC-AC-10004114,196,6,0,56
CA-2017-125388,2017-10-19,2017-10-23,Standard Class,MP-17965,FUR-FU-10004712,56,4,0,14
CA-2017-155705,2017-08-21,2017-08-23,Second Class,NF-18385,FUR-CH-10000015,866,4,0,225
CA-2017-149160,2017-11-23,2017-11-26,Second Class,JM-15265,FUR-FU-10003347,28,2,0,11
CA-2014-101476,2014-09-12,2014-09-13,First Class,SD-20485,TEC-MA-10000029,69,1,0,30
CA-2017-152275,2017-10-01,2017-10-08,Standard Class,KH-16630,OFF-AR-10000369,6,6,0,0
US-2016-123750,2016-04-15,2016-04-21,Standard Class,RB-19795,OFF-BI-10004584,189,2,0,-145
CA-2016-127369,2016-06-06,2016-06-07,First Class,DB-13060,OFF-ST-10003306,714,5,0,207
US-2014-150574,2014-12-19,2014-12-25,Standard Class,MK-18160,OFF-BI-10000773,4,2,0,-3
CA-2016-147375,2016-06-12,2016-06-14,Second Class,PO-19180,TEC-MA-10002937,1007,3,0,43
CA-2017-130043,2017-09-15,2017-09-19,Standard Class,BB-11545,OFF-PA-10002230,31,8,0,11
CA-2017-157252,2017-01-20,2017-01-23,Second Class,CV-12805,FUR-CH-10003396,207,3,0,2
CA-2016-115756,2016-09-05,2016-09-07,Second Class,PK-19075,FUR-FU-10000246,12,1,0,3
CA-2017-154214,2017-03-20,2017-03-25,Second Class,TB-21595,FUR-FU-10000206,2,1,0,1
CA-2016-166674,2016-04-01,2016-04-03,Second Class,RB-19360,OFF-AR-10000588,59,3,0,15
CA-2017-147277,2017-10-20,2017-10-24,Standard Class,EB-13705,FUR-TA-10001539,284,2,0,-75
CA-2016-100153,2016-12-13,2016-12-17,Standard Class,KH-16630,TEC-AC-10001772,63,4,0,24
US-2014-110674,2014-02-12,2014-02-18,Standard Class,SC-20095,FUR-CH-10000225,129,2,0,-24
US-2016-157945,2016-09-26,2016-10-01,Standard Class,NF-18385,FUR-CH-10002331,747,3,0,-96
CA-2015-109638,2015-12-15,2015-12-22,Standard Class,JH-15985,OFF-AP-10002472,103,4,0,36
CA-2016-109869,2016-04-22,2016-04-29,Standard Class,TN-21040,FUR-FU-10000023,23,5,0,7
US-2015-101399,2015-01-17,2015-01-24,Standard Class,JS-15940,FUR-FU-10002918,254,7,0,-312
CA-2017-154907,2017-03-31,2017-04-04,Standard Class,DS-13180,FUR-BO-10002824,205,2,0,-36
US-2016-100419,2016-12-16,2016-12-20,Second Class,CC-12670,OFF-BI-10002194,4,3,0,-7
CA-2015-154144,2015-12-20,2015-12-24,Standard Class,MH-17785,OFF-PA-10004071,55,1,0,26
CA-2014-144666,2014-11-09,2014-11-11,Second Class,JP-15520,OFF-ST-10002743,340,3,0,3
CA-2016-103891,2016-07-12,2016-07-19,Standard Class,KH-16690,TEC-PH-10000149,95,6,0,7
CA-2016-152632,2016-10-27,2016-11-02,Standard Class,JE-15475,FUR-FU-10002671,40,3,0,19
CA-2016-100790,2016-06-26,2016-07-02,Standard Class,JG-15805,OFF-AR-10003045,14,5,0,6
CA-2014-134677,2014-10-06,2014-10-10,Standard Class,XP-21865,TEC-AC-10001445,9,3,0,1
CA-2014-127691,2014-07-22,2014-07-27,Standard Class,EM-14065,OFF-AR-10002053,5,2,0,1
CA-2017-140963,2017-06-10,2017-06-13,First Class,MT-18070,OFF-LA-10003923,29,2,0,14
CA-2014-154627,2014-10-29,2014-10-31,First Class,SA-20830,TEC-PH-10001363,2735,6,0,341
CA-2014-133753,2014-06-09,2014-06-13,Second Class,CW-11905,TEC-PH-10000376,7,1,0,0
CA-2014-113362,2014-09-14,2014-09-19,Standard Class,AJ-10960,OFF-ST-10001809,449,5,0,8
CA-2016-169166,2016-05-09,2016-05-14,Standard Class,SS-20590,TEC-AC-10000991,93,2,0,13
US-2016-120929,2016-03-18,2016-03-21,Second Class,RO-19780,FUR-TA-10001857,189,3,0,-94
CA-2015-134782,2015-12-27,2015-12-31,Standard Class,MD-17350,OFF-EN-10001434,105,2,0,51
CA-2016-126158,2016-07-25,2016-07-31,Standard Class,SC-20095,OFF-BI-10002498,119,8,0,40
US-2016-105578,2016-05-30,2016-06-04,Standard Class,MY-17380,OFF-BI-10001670,22,2,0,-15
CA-2017-134978,2017-11-12,2017-11-15,Second Class,EB-13705,OFF-BI-10003274,15,5,0,5
CA-2015-145352,2015-03-16,2015-03-22,Standard Class,CM-12385,OFF-AR-10001662,2,1,0,0
CA-2017-135307,2017-11-26,2017-11-27,First Class,LS-17245,FUR-FU-10001290,126,3,0,40
CA-2016-106341,2016-10-20,2016-10-23,First Class,LF-17185,OFF-AR-10002053,7,3,0,0
CA-2017-163405,2017-12-21,2017-12-25,Standard Class,BN-11515,OFF-AR-10003811,6,3,0,1
CA-2017-127432,2017-01-22,2017-01-27,Standard Class,AD-10180,TEC-CO-10003236,2999,5,0,1379
CA-2015-157812,2015-03-22,2015-03-26,Standard Class,DB-13210,TEC-AC-10000171,18,1,0,5
CA-2017-145142,2017-01-23,2017-01-25,First Class,MC-17605,FUR-TA-10001857,210,2,0,21
US-2016-139486,2016-05-21,2016-05-23,First Class,LH-17155,TEC-PH-10003555,55,3,0,-12
CA-2015-158792,2015-12-26,2016-01-02,Standard Class,BD-11605,OFF-FA-10002815,22,5,0,10
CA-2017-113558,2017-10-21,2017-10-26,Standard Class,PH-18790,FUR-CH-10003379,683,3,0,42
US-2015-138303,2015-09-03,2015-09-07,Standard Class,MG-18145,OFF-ST-10004963,36,3,0,-7
CA-2015-102848,2015-11-07,2015-11-09,Second Class,KB-16240,FUR-CH-10000595,190,1,0,11
US-2017-129441,2017-09-07,2017-09-11,Standard Class,JC-15340,FUR-FU-10000448,47,3,0,2
CA-2016-168753,2016-05-29,2016-06-01,Second Class,RL-19615,TEC-PH-10000984,979,5,0,274
CA-2016-126613,2016-07-10,2016-07-16,Standard Class,AA-10375,OFF-ST-10001325,16,2,0,1
US-2017-122637,2017-09-03,2017-09-08,Second Class,EP-13915,OFF-BI-10002429,42,7,0,-68
CA-2015-147851,2015-12-03,2015-12-08,Standard Class,MP-17470,OFF-BI-10004528,10,4,0,3
CA-2015-134894,2015-12-07,2015-12-11,Standard Class,DK-12985,OFF-AP-10001271,152,3,0,41
CA-2014-140795,2014-02-01,2014-02-03,First Class,BD-11500,TEC-AC-10001432,468,6,0,206
CA-2016-136924,2016-07-14,2016-07-17,First Class,ES-14080,TEC-PH-10002262,380,8,0,38
US-2015-120161,2015-12-18,2015-12-23,Standard Class,LM-17065,OFF-ST-10001809,646,9,0,-145
CA-2014-103849,2014-05-11,2014-05-16,Standard Class,PG-18895,TEC-AC-10001465,58,2,0,7
CA-2017-162929,2017-11-19,2017-11-22,First Class,AS-10135,OFF-BI-10000404,41,6,0,13
CA-2015-113173,2015-11-15,2015-11-17,Second Class,DK-13225,OFF-ST-10000604,250,9,0,15
CA-2016-136406,2016-04-15,2016-04-17,Second Class,BD-11320,FUR-CH-10002024,1121,2,0,0
CA-2017-112774,2017-09-11,2017-09-12,First Class,RC-19960,FUR-FU-10003039,34,1,0,6
